epoch,loss,val_dice,lr
1,0.3774642325901999,0.5005611253638166,0.0001
2,0.31481943766249554,0.5901566023983074,0.0001
3,0.2977795491995091,0.6490187726705279,0.0001
4,0.28957494122347394,0.6552807375152473,0.0001
5,0.27559121840886275,0.6788361673351629,0.0001
6,0.2719462184522688,0.668042584394637,0.0001
7,0.26682042461837985,0.6615678681188771,0.0001
8,0.25684653339963265,0.6907912592070963,0.0001
9,0.25528067646338454,0.6806919250574677,0.0001
10,0.2537801943504259,0.6971049322211906,0.0001
11,0.24995294776922403,0.6861844835325465,0.0001
12,0.24332683765420315,0.6799905404426656,0.0001
13,0.24216900832845548,0.7047454555632068,0.0001
14,0.23846619012419676,0.6485070308786227,0.0001
15,0.2422741015715614,0.7011022995357112,0.0001
16,0.23790718844174527,0.6966923146919852,5e-05
17,0.21484201946733927,0.722588537323288,5e-05
18,0.2143249421102955,0.711078454180007,5e-05
19,0.2136921256688684,0.728559342121503,5e-05
20,0.20854768571794438,0.7052279768725939,5e-05
21,0.20952354542977686,0.7260358218338024,5e-05
22,0.20991435755696636,0.7336662580876547,5e-05
23,0.21085745308438067,0.731549364639191,5e-05
24,0.20137924863302187,0.7200727734516806,5e-05
25,0.20547521136349287,0.7327612922014968,2.5e-05
26,0.19562453807194585,0.7339475528328804,2.5e-05
27,0.19483465494373256,0.729386395041892,2.5e-05
28,0.19019378314534352,0.7338848173439712,2.5e-05
29,0.19034087795597956,0.7428781969548284,2.5e-05
30,0.19381803774426506,0.735657038278117,2.5e-05
31,0.19464550985961943,0.7365183255973495,2.5e-05
32,0.18398736286612474,0.7354238752460359,1.25e-05
33,0.18346249635779213,0.7348128549501441,1.25e-05
34,0.1862809839153377,0.7410649860070897,1.25e-05
35,0.1819357849469498,0.7391109914099014,6.25e-06
36,0.18471797580520677,0.7361210698722147,6.25e-06
37,0.18313507891664846,0.7366618747126814,6.25e-06
38,0.18158960916279054,0.7365186523808456,3.125e-06
39,0.17773219131443269,0.7376938324908631,3.125e-06
40,0.18019094356530874,0.7361272744712466,3.125e-06
